City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,mount isa,-20.7333,139.5,22.87,33,10,4.12,AU,1680211250
298,beloha,-25.1667,45.05,21.19,92,19,2.25,MG,1680211250
299,channel-port aux basques,47.5702,-59.1367,0.37,85,41,5.39,CA,1680211250
300,antalaha,-14.9003,50.2788,24.42,88,72,3.09,MG,1680211250
301,araouane,18.9048,-3.5265,28.06,8,0,4.94,ML,1680211250
302,pingyin,36.2831,116.4453,9.64,56,100,3.33,CN,1680211250
303,banda aceh,5.5577,95.3222,26.31,79,99,1.6,ID,1680211250
304,sibolga,1.7427,98.7792,23.51,85,100,1.45,ID,1680211250
305,kajiado,-1.8524,36.7768,16.77,80,93,5.73,KE,1680211250
306,kisangani,0.5167,25.2,21.07,98,100,2.33,CD,1680211250
307,barahona,18.2085,-71.1008,29.9,54,20,8.23,DO,1680211251
308,tuatapere,-46.1333,167.6833,8.68,77,23,1.85,NZ,1680211251
309,puerto escondido,15.85,-97.0667,31.46,66,0,6.17,MX,1680211251
310,lavrentiya,65.5833,-171.0,-7.62,76,100,4.21,RU,1680211251
311,taoudenni,22.6783,-3.9836,28.55,8,0,6.31,ML,1680211251
312,balod,20.73,81.2047,28.79,42,34,6.01,IN,1680211251
313,krasnogorskiy,54.6025,61.231,-5.64,89,48,4.02,RU,1680211251
314,farafenni,13.5667,-15.6,29.29,31,0,5.38,GM,1680211251
315,matagami,49.7502,-77.6328,-0.94,37,100,4.63,CA,1680211251
316,innisfail,-17.5333,146.0333,21.77,84,6,1.39,AU,1680211251
317,almas,46.2833,22.2333,7.26,80,100,2.33,RO,1680211251
318,hami,42.8,93.45,11.89,20,28,4.47,CN,1680211252
319,saint-augustin,51.226,-58.6502,0.02,80,79,4.12,CA,1680211252
320,kirishi,59.4471,32.0205,-6.93,96,87,1.48,RU,1680211252
321,jiexiu,37.0244,111.9125,12.12,33,100,1.58,CN,1680211252
322,hofn,64.2539,-15.2082,7.42,95,100,11.23,IS,1680211252
323,sao felix do xingu,-6.6447,-51.995,25.56,91,55,0.99,BR,1680211252
324,kodiak,57.79,-152.4072,2.73,87,100,7.2,US,1680211252
325,orlik,52.5178,99.825,-3.58,85,91,2.26,RU,1680211252
326,umtata,-31.5889,28.7844,12.91,85,65,0.2,ZA,1680211253
327,wuan,31.6836,112.0044,12.68,70,5,0.67,CN,1680211253
328,sorland,67.667,12.6934,1.92,56,82,11.48,NO,1680211253
329,hermagor,46.6272,13.3672,7.75,97,100,1.11,AT,1680211253
330,atar,20.5169,-13.0499,32.59,12,96,3.39,MR,1680211253
331,vicosa,-20.7539,-42.8819,21.65,77,70,2.0,BR,1680211253
332,amahai,-3.3333,128.9167,25.46,81,92,1.41,ID,1680211253
333,sept-iles,50.2001,-66.3821,-0.53,94,100,3.6,CA,1680211021
334,pemagatsel,27.0319,91.4266,10.04,75,18,1.85,BT,1680211253
335,sabang,5.8933,95.3214,27.61,74,98,1.21,ID,1680211253
336,caravelas,-17.7125,-39.2481,25.67,75,3,3.23,BR,1680211254
337,wagga wagga,-35.1167,147.3667,9.78,81,13,1.57,AU,1680211254
338,komsomolskiy,40.4272,71.7189,14.4,67,100,1.03,UZ,1680211254
339,los llanos de aridane,28.6585,-17.9182,25.86,15,0,5.14,ES,1680211254
340,shumskiy,54.8318,99.1328,-6.02,78,100,5.8,RU,1680211255
341,rincon,32.296,-81.2354,20.98,46,0,5.14,US,1680211255
342,nabire,-3.3667,135.4833,23.72,92,100,0.98,ID,1680211255
343,vanimo,-2.6741,141.3028,24.93,88,99,2.22,PG,1680211255
344,rosarito,32.3333,-117.0333,15.82,70,40,6.61,MX,1680211255
345,roma,43.2128,-75.4557,2.43,45,0,6.17,US,1680211203
346,bukene,-4.2333,32.8833,17.71,95,91,1.23,TZ,1680211256
347,monastyrshchina,54.3496,31.838,-2.5,92,14,1.88,RU,1680211256
348,iqaluit,63.7506,-68.5145,-16.15,77,20,0.0,CA,1680211256
349,olafsvik,64.8945,-23.7142,2.99,83,69,6.08,IS,1680211256
350,nandurbar,21.3667,74.25,23.43,72,11,6.35,IN,1680210741
351,supe,-10.8,-77.7333,25.86,73,72,4.03,PE,1680211256
352,porto walter,-8.2686,-72.7439,27.92,86,100,0.82,BR,1680211256
353,santa isabel,-23.3156,-46.2214,28.61,87,47,0.99,BR,1680211256
354,ambulu,-8.345,113.6058,23.79,89,98,1.25,ID,1680211256
355,nuuk,64.1835,-51.7216,-4.66,46,0,6.71,GL,1680211256
356,presidencia roque saenz pena,-26.7852,-60.4388,33.65,44,37,2.74,AR,1680211257
357,a coruna,43.3713,-8.396,16.61,79,40,7.6,ES,1680210992
358,colombo,6.9319,79.8478,26.02,85,27,1.8,LK,1680211258
359,the valley,18.217,-63.0578,27.12,69,40,6.17,AI,1680211258
360,bandarbeyla,9.4942,50.8122,26.93,73,3,2.98,SO,1680211258
361,gizo,-8.103,156.8419,27.6,75,91,1.53,SB,1680211259
362,yar-sale,66.8333,70.8333,-19.6,100,99,3.36,RU,1680211259
363,am timan,11.0297,20.2827,31.97,14,93,2.21,TD,1680211259
364,bima,-8.4667,118.7167,23.95,93,100,0.82,ID,1680211259
365,ilulissat,69.2167,-51.1,-14.99,78,1,2.06,GL,1680211259
